Applid,Date,ResTime,ColTime,NOSPACETms,PutqIntraReqs,GetqIntraReqs,IntraBuffers,PeakIntraBuffData,BufferWait,StringNum,StringWait
BP16PAA6,01/11/2016,20:00:00,22:00:00,0,5992,0,500,2,0,255,0
BP17PAAC,01/11/2016,06:00:00,08:00:00,0,734,0,500,2,0,255,0
BP17PAAC,01/11/2016,08:00:00,10:00:00,0,6416,0,500,2,0,255,0
BP17PAAC,01/11/2016,10:00:00,12:00:00,0,12519,0,500,2,0,255,0
BP17PAAC,01/11/2016,12:00:00,14:00:00,0,11068,0,500,2,0,255,0
BP17PAAC,01/11/2016,14:00:00,16:00:00,0,11336,0,500,2,0,255,0
BP17PAAC,01/11/2016,16:00:00,18:00:00,0,9952,0,500,2,0,255,0
BP17PAAC,01/11/2016,18:00:00,20:00:00,0,7262,0,500,2,0,255,0
BP17PAAC,01/11/2016,20:00:00,22:00:00,0,6237,0,500,2,0,255,0
BP17PAAG,01/11/2016,06:00:00,08:00:00,0,820,0,500,2,0,255,0
BP17PAAG,01/11/2016,08:00:00,10:00:00,0,6536,0,500,2,0,255,0
BP17PAAG,01/11/2016,10:00:00,12:00:00,0,12315,0,500,2,0,255,0
BP17PAAG,01/11/2016,12:00:00,14:00:00,0,10785,0,500,2,0,255,0
BP17PAAG,01/11/2016,14:00:00,16:00:00,0,11354,0,500,2,0,255,0
BP17PAAG,01/11/2016,16:00:00,18:00:00,0,10250,0,500,2,0,255,0
BP17PAAG,01/11/2016,18:00:00,20:00:00,0,7374,0,500,2,0,255,0
BP17PAAG,01/11/2016,20:00:00,22:00:00,0,5930,0,500,2,0,255,0
BP17PAA3,01/11/2016,06:00:00,08:00:00,0,731,0,500,2,0,255,0
BP17PAA3,01/11/2016,08:00:00,10:00:00,0,6673,0,500,2,0,255,0
BP17PAA3,01/11/2016,10:00:00,12:00:00,0,12409,0,500,2,0,255,0
BP17PAA3,01/11/2016,12:00:00,14:00:00,0,10780,0,500,2,0,255,0
BP17PAA3,01/11/2016,14:00:00,16:00:00,0,11241,0,500,2,0,255,0
BP17PAA3,01/11/2016,16:00:00,18:00:00,0,10159,0,500,2,0,255,0
BP17PAA3,01/11/2016,18:00:00,20:00:00,0,7160,0,500,2,0,255,0
BP17PAA3,01/11/2016,20:00:00,22:00:00,0,6160,0,500,2,0,255,0
BP17PAA7,01/11/2016,06:00:00,08:00:00,0,729,0,500,2,0,255,0
BP17PAA7,01/11/2016,08:00:00,10:00:00,0,6666,0,500,2,0,255,0
BP17PAA7,01/11/2016,10:00:00,12:00:00,0,12523,0,500,2,0,255,0
BP17PAA7,01/11/2016,12:00:00,14:00:00,0,10618,0,500,2,0,255,0
BP17PAA7,01/11/2016,14:00:00,16:00:00,0,11340,0,500,2,0,255,0
BP17PAA7,01/11/2016,16:00:00,18:00:00,0,10027,0,500,2,0,255,0
BP17PAA7,01/11/2016,18:00:00,20:00:00,0,7350,0,500,2,0,255,0
BP17PAA7,01/11/2016,20:00:00,22:00:00,0,6027,0,500,2,0,255,0
BP18PAAD,01/11/2016,06:00:00,08:00:00,0,757,0,500,2,0,255,0
BP18PAAD,01/11/2016,08:00:00,10:00:00,0,6564,0,500,2,0,255,0
BP18PAAD,01/11/2016,10:00:00,12:00:00,0,12395,0,500,2,0,255,0
BP18PAAD,01/11/2016,12:00:00,14:00:00,0,10922,0,500,2,0,255,0
BP18PAAD,01/11/2016,14:00:00,16:00:00,0,11339,0,500,2,0,255,0
BP18PAAD,01/11/2016,16:00:00,18:00:00,0,10370,0,500,2,0,255,0
BP18PAAD,01/11/2016,18:00:00,20:00:00,0,7152,0,500,2,0,255,0
BP18PAAD,01/11/2016,20:00:00,22:00:00,0,6085,0,500,2,0,255,0
BP18PAAH,01/11/2016,06:00:00,08:00:00,0,750,0,500,2,0,255,0
