Applid,Date,ResTime,ColTime,ASCPU,ASSRB,ICV,ICVR,QRCPU,QRDsp,QRCPUUtilRatio%,QRDispUtilRatio%,QRDispRatio%,L8CPU,L8Dsp,L8CPUUtilRatio%,L8DispUtilRatio%,L8DispRatio%,ASTCBUtilRatio%,ASSRBCPUUtilRatio%,CPUPerUsrTran,PkOpTCB,MAXOpTCB,OpTCBRatio%
BP15PAAA,01/11/2016,20:00:00,22:00:00,00:19:56.517434,00:00:02.262338,10000,500,00:01:01.968189,00:01:19.242825,0.86,1.10,78.20,00:18:41.912036,00:48:25.231089,15.58,40.35,38.62,16.62,0.03,0.012585,9,232,3.88
BP15PAAE,01/11/2016,06:00:00,08:00:00,00:01:25.601622,00:00:00.398404,10000,500,00:00:10.331524,00:00:12.232867,0.14,0.17,84.46,00:01:13.293374,00:03:42.484693,1.02,3.09,32.94,1.19,0.01,0.006142,6,232,2.59
BP15PAAE,01/11/2016,08:00:00,10:00:00,00:13:04.636347,00:00:02.806586,10000,500,00:01:30.284231,00:01:47.961848,1.25,1.50,83.63,00:11:17.407838,00:35:02.047007,9.41,29.20,32.23,10.90,0.04,0.005761,10,232,4.31
BP15PAAE,01/11/2016,10:00:00,12:00:00,00:24:07.517924,00:00:04.576491,10000,500,00:02:23.206928,00:02:52.043611,1.99,2.39,83.24,00:21:14.083489,01:02:51.399727,17.70,52.38,33.78,20.10,0.06,0.006314,12,232,5.17
BP15PAAE,01/11/2016,12:00:00,14:00:00,00:21:08.398654,00:00:03.855093,10000,500,00:01:54.454514,00:02:20.621635,1.59,1.95,81.39,00:18:51.259039,00:52:53.134083,15.71,44.07,35.65,17.62,0.05,0.006951,13,232,5.60
BP15PAAE,01/11/2016,14:00:00,16:00:00,00:22:48.825777,00:00:04.253263,10000,500,00:02:21.687657,00:02:49.828146,1.97,2.36,83.43,00:19:59.267647,01:01:57.879215,16.66,51.64,32.26,19.01,0.06,0.006114,16,232,6.90
BP15PAAE,01/11/2016,16:00:00,18:00:00,00:24:15.037009,00:00:04.030657,10000,500,00:02:16.103815,00:02:43.012915,1.89,2.26,83.49,00:21:33.401545,00:56:37.975133,17.96,47.19,38.06,20.21,0.06,0.007391,16,232,6.90
BP15PAAE,01/11/2016,18:00:00,20:00:00,00:20:11.145249,00:00:02.877176,10000,500,00:01:22.481876,00:01:44.685782,1.15,1.45,78.79,00:18:32.109118,00:43:34.038603,15.45,36.31,42.54,16.82,0.04,0.010047,13,232,5.60
BP15PAAE,01/11/2016,20:00:00,22:00:00,00:19:51.595511,00:00:02.220950,10000,500,00:01:00.806848,00:01:18.055770,0.84,1.08,77.90,00:18:38.802179,00:50:01.682691,15.54,41.69,37.27,16.55,0.03,0.012727,13,232,5.60
BP15PAA1,01/11/2016,06:00:00,08:00:00,00:01:26.656786,00:00:00.384703,10000,500,00:00:10.464210,00:00:12.309794,0.15,0.17,85.01,00:01:14.195024,00:03:46.692667,1.03,3.15,32.73,1.20,0.01,0.006177,6,232,2.59
BP15PAA1,01/11/2016,08:00:00,10:00:00,00:13:02.254385,00:00:02.781451,10000,500,00:01:26.345721,00:01:43.913365,1.20,1.44,83.09,00:11:19.017152,00:34:56.562133,9.43,29.12,32.39,10.86,0.04,0.005769,10,232,4.31
BP15PAA1,01/11/2016,10:00:00,12:00:00,00:24:07.117896,00:00:04.487642,10000,500,00:02:23.386666,00:02:52.342417,1.99,2.39,83.20,00:21:15.156313,01:01:57.990004,17.71,51.64,34.30,20.10,0.06,0.006306,12,232,5.17
BP15PAA1,01/11/2016,12:00:00,14:00:00,00:21:16.985261,00:00:03.979305,10000,500,00:01:54.110085,00:02:21.413935,1.58,1.96,80.69,00:19:00.173138,00:51:14.011658,15.84,42.69,37.09,17.74,0.06,0.007002,13,232,5.60
BP15PAA1,01/11/2016,14:00:00,16:00:00,00:22:33.500842,00:00:04.265799,10000,500,00:02:21.350246,00:02:49.757240,1.96,2.36,83.27,00:19:44.295692,00:54:29.842178,16.45,45.41,36.22,18.80,0.06,0.006066,13,232,5.60
BP15PAA1,01/11/2016,16:00:00,18:00:00,00:24:24.926826,00:00:04.066003,10000,500,00:02:16.513305,00:02:43.868960,1.90,2.28,83.31,00:21:42.880972,00:52:58.770814,18.10,44.15,40.99,20.35,0.06,0.007409,12,232,5.17
BP15PAA1,01/11/2016,18:00:00,20:00:00,00:20:17.336543,00:00:02.822063,10000,500,00:01:22.373576,00:01:43.889957,1.14,1.44,79.29,00:18:39.032356,00:43:47.316142,15.54,36.49,42.59,16.91,0.04,0.010143,11,232,4.74
BP15PAA1,01/11/2016,20:00:00,22:00:00,00:19:51.040320,00:00:02.255130,10000,500,00:01:00.836929,00:01:18.383213,0.84,1.09,77.61,00:18:37.429207,00:48:45.721775,15.52,40.64,38.19,16.54,0.03,0.012621,11,232,4.74
BP15PAA5,01/11/2016,06:00:00,08:00:00,00:01:22.897467,00:00:00.383512,10000,500,00:00:10.310564,00:00:12.129302,0.14,0.17,85.01,00:01:10.677126,00:03:31.531268,0.98,2.94,33.41,1.15,0.01,0.006093,6,232,2.59
BP15PAA5,01/11/2016,08:00:00,10:00:00,00:13:07.615968,00:00:02.650373,10000,500,00:01:26.932124,00:01:44.955796,1.21,1.46,82.83,00:11:23.889493,00:35:31.298041,9.50,29.60,32.09,10.94,0.04,0.005789,10,232,4.31
BP15PAA5,01/11/2016,10:00:00,12:00:00,00:24:03.770722,00:00:04.509130,10000,500,00:02:25.001370,00:02:54.083305,2.01,2.42,83.29,00:21:10.387962,01:11:17.471971,17.64,59.41,29.70,20.05,0.06,0.006314,23,232,9.91
BP15PAA5,01/11/2016,12:00:00,14:00:00,00:21:12.319200,00:00:03.803931,10000,500,00:01:53.671436,00:02:20.873529,1.58,1.96,80.69,00:18:56.159526,00:52:49.912052,15.78,44.03,35.84,17.67,0.05,0.006989,13,232,5.60
