Applid,Date,ResTime,ColTime,DB2EntryName,AccountRec,ThreadWait,ThreadPrty,CallCount,TwoPCommitCount,AbortCount,OnePCommitCount,ThreadCreate,ThreadReuse,ThreadTerms,ThreadLimit,ThreadHWM,PthreadLimit,PthreadHWM,Readyq,Reuselm,CommitRatio%,ThreadRatio%,PthreadRatio%
BP16PAAF,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,8102439,18748,4516,186436,2166,209595,2167,100,13,30,13,0,2060,97.85,13.0,43.33
BP16PAAF,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7106927,12876,3078,112459,1333,128326,1333,100,11,30,11,0,1247,97.6,11.0,36.67
BP16PAAF,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,6034163,11329,2192,88645,1088,102067,1087,100,7,30,7,0,989,97.85,7.0,23.33
BP16PAA2,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,346889,1249,370,13224,187,14793,185,100,3,30,3,0,137,97.51,3.0,10.0
BP16PAA2,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3814619,12371,3387,128446,1497,144118,1495,100,7,30,7,0,1410,97.65,7.0,23.33
BP16PAA2,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7467059,23320,5157,215839,2521,244187,2522,100,12,30,12,0,2393,97.89,12.0,40.0
BP16PAA2,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6831734,20678,3988,168210,1988,192771,1988,100,9,30,9,0,1883,97.93,9.0,30.0
BP16PAA2,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7353165,21302,4721,206985,2397,232894,2396,100,11,30,11,0,2282,97.97,11.0,36.67
BP16PAA2,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,8059231,19143,4482,186829,2185,210321,2185,100,10,30,10,0,2053,97.87,10.0,33.33
BP16PAA2,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7058000,12794,2998,112858,1344,128558,1345,100,8,30,8,0,1253,97.67,8.0,26.67
BP16PAA2,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,5999866,11057,2053,87979,1069,101001,1070,100,7,30,7,0,981,97.97,7.0,23.33
BP16PAA6,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,348945,1245,353,12992,180,14541,180,100,4,30,4,0,131,97.58,4.0,13.33
BP16PAA6,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3727415,12042,3425,128701,1495,144081,1493,100,8,30,8,0,1407,97.62,8.0,26.67
BP16PAA6,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7176207,23040,4956,215084,2500,242955,2499,100,10,30,10,0,2375,97.96,10.0,33.33
BP16PAA6,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6833116,20772,4071,169040,2004,193775,2002,100,12,30,12,0,1897,97.9,12.0,40.0
BP16PAA6,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7215015,21395,4661,206405,2391,232352,2392,100,12,30,12,0,2281,97.99,12.0,40.0
BP16PAA6,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,8059278,18753,4489,184157,2136,207286,2137,100,10,30,10,0,2025,97.84,10.0,33.33
BP16PAA6,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7205315,12722,3085,113727,1349,129449,1349,100,9,30,9,0,1264,97.62,9.0,30.0
BP16PAA6,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,6018183,10775,2140,88235,1070,101060,1072,100,7,30,7,0,980,97.88,7.0,23.33
BP17PAAC,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,360608,1203,332,12958,179,14441,177,100,3,30,3,0,127,97.71,3.0,10.0
BP17PAAC,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3695124,11955,3349,128776,1497,143990,1494,100,14,30,14,0,1406,97.68,14.0,46.67
BP17PAAC,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7780542,23456,5117,215202,2502,243658,2502,100,9,30,9,0,2386,97.9,9.0,30.0
BP17PAAC,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6848431,21036,4078,169923,2029,194920,2030,100,9,30,9,0,1912,97.91,9.0,30.0
BP17PAAC,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7386062,21372,4826,207266,2402,233353,2402,100,14,30,14,0,2289,97.93,14.0,46.67
BP17PAAC,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,7872076,18477,4487,185558,2148,208424,2148,100,9,30,9,0,2052,97.85,9.0,30.0
BP17PAAC,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7019437,12777,3058,112336,1346,128070,1344,100,10,30,10,0,1245,97.61,10.0,33.33
BP17PAAC,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,5954855,11187,2119,88467,1074,101683,1077,100,8,30,8,0,984,97.92,8.0,26.67
BP17PAAG,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,380036,1356,358,13558,189,15220,187,100,3,30,3,0,137,97.66,3.0,10.0
BP17PAAG,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3734024,12220,3341,127895,1489,143362,1486,100,8,30,8,0,1395,97.67,8.0,26.67
BP17PAAG,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7460107,23084,4999,215640,2506,243617,2508,100,8,30,8,0,2400,97.95,8.0,26.67
BP17PAAG,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6969439,20545,3979,169336,2002,193760,2001,100,7,30,7,0,1902,97.95,7.0,23.33
BP17PAAG,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7379682,21344,4564,207036,2399,232829,2399,100,10,30,10,0,2283,98.04,10.0,33.33
BP17PAAG,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,8221700,18954,4495,186560,2154,209914,2155,100,8,30,8,0,2060,97.86,8.0,26.67
BP17PAAG,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7305129,12977,3001,114022,1350,129925,1350,100,7,30,7,0,1275,97.69,7.0,23.33
BP17PAAG,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,6062068,10723,2045,88418,1075,101095,1075,100,7,30,7,0,984,97.98,7.0,23.33
BP17PAA3,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,357373,1216,346,13310,186,14821,185,100,4,30,4,0,135,97.67,4.0,13.33
BP17PAA3,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3863324,12438,3520,127978,1486,143852,1483,100,7,30,7,0,1402,97.55,7.0,23.33
BP17PAA3,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7223388,23254,5101,215748,2501,243997,2501,100,10,30,10,0,2394,97.91,10.0,33.33
BP17PAA3,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6763579,20435,4043,168050,1996,192418,1996,100,8,30,8,0,1885,97.9,8.0,26.67
BP17PAA3,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7296589,21162,4768,207205,2405,233011,2404,100,10,30,10,0,2283,97.95,10.0,33.33
BP17PAA3,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,7812237,18964,4399,185527,2150,208789,2151,100,8,30,8,0,2049,97.89,8.0,26.67
BP17PAA3,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7280075,12650,3007,113013,1340,128581,1341,100,7,30,7,0,1251,97.66,7.0,23.33
BP17PAA3,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,5746064,11076,2078,87981,1064,101044,1064,100,7,30,7,0,973,97.95,7.0,23.33
BP17PAA7,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,385317,1185,344,13014,189,14490,189,100,4,30,4,0,135,97.63,4.0,13.33
BP17PAA7,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3916507,12381,3418,128632,1492,144344,1489,100,7,30,7,0,1406,97.63,7.0,23.33
BP17PAA7,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7176718,23456,5057,216158,2511,244561,2510,100,10,30,10,0,2401,97.93,10.0,33.33
BP17PAA7,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6855408,20139,4145,168951,1996,193131,1997,100,11,30,11,0,1892,97.85,11.0,36.67
BP17PAA7,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7298605,21342,4676,206302,2402,232188,2400,100,11,30,11,0,2270,97.99,11.0,36.67
