Applid,Date,ResTime,ColTime,PutqMainReqs,GetqMainReqs,TSMAINLIMIT,TSMAINLIMITTms,PeakUsedTSMAIN,TSMAINLIMITRatio%,AutoDelTSQs,PutqAuxReqs,GetqAuxReqs,QueueCreTms,CISize,WriteMTCI,LongestRec,AuxStgExh,TSCompress,BufferWait,StringWait,IOErrorTSQDS,GetqShareReqs,PutqShareReqs
BP16PAA6,01/11/2016,08:00:00,10:00:00,0,133100,5242880,0,468,0.0089,2,73168,71106,71182,8192,41,8870,0,288,7,0,0,23694,32906
BP16PAA6,01/11/2016,10:00:00,12:00:00,0,228308,5242880,0,468,0.0089,1,123558,118773,118996,8192,104,9411,0,605,7,0,0,32347,44771
BP16PAA6,01/11/2016,12:00:00,14:00:00,58,181418,5242880,0,468,0.0089,3,99648,95413,95640,8192,19,8870,0,378,6,0,0,22245,31054
BP16PAA6,01/11/2016,14:00:00,16:00:00,98,219241,5242880,0,468,0.0089,3,120058,115202,115465,8192,75,9411,0,641,6,0,0,32605,52062
BP16PAA6,01/11/2016,16:00:00,18:00:00,0,193364,5242880,0,468,0.0089,4,104382,102174,102332,8192,218,8870,0,447,6,0,0,43032,69120
BP16PAA6,01/11/2016,18:00:00,20:00:00,0,118038,5242880,0,468,0.0089,2,67034,63821,63811,8192,226,8870,0,223,3,0,0,33260,57290
BP16PAA6,01/11/2016,20:00:00,22:00:00,0,92844,5242880,0,468,0.0089,2,52785,49345,49334,8192,5,8545,0,132,0,0,0,15619,33499
BP17PAAC,01/11/2016,06:00:00,08:00:00,0,12864,5242880,0,468,0.0089,0,7429,7136,7137,8192,196,8870,0,0,0,0,0,397,475
BP17PAAC,01/11/2016,08:00:00,10:00:00,0,133309,5242880,0,468,0.0089,0,74082,71073,71152,8192,46,8870,0,322,5,0,0,23084,30281
BP17PAAC,01/11/2016,10:00:00,12:00:00,0,228615,5242880,0,468,0.0089,2,123772,119038,119274,8192,105,8870,0,592,4,0,0,31700,42903
BP17PAAC,01/11/2016,12:00:00,14:00:00,60,181672,5242880,0,468,0.0089,3,100800,95488,95719,8192,26,8870,0,363,5,0,0,21442,30439
