Applid,Date,ResTime,ColTime,ENQPoolName,ENQIssd,ENQWtd,ENQWTT,ENQSysWtd,ENQSysWtT,ENQRtnd,ENQRtnT,ImmRejEqBsy,ImmRejEqRtn,WtRejRtn,WtRejOp,WtRejTo,ENQBusyRatio%,ENQWttRatio%,ENQRetRatio%,ENQImmRetRatio%,ENQImmSuccessRatio%
BP15PAAE,01/11/2016,20:00:00,22:00:00,*TOTALS*,15741,73,00:00:00.394,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.46,0.0,0.0,99.54
BP15PAA1,01/11/2016,06:00:00,08:00:00,*TOTALS*,2753,3,00:00:00.017,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.11,0.0,0.0,99.89
BP15PAA1,01/11/2016,08:00:00,10:00:00,*TOTALS*,18313,124,00:00:03.949,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.68,0.0,0.0,99.32
BP15PAA1,01/11/2016,10:00:00,12:00:00,*TOTALS*,33111,308,00:00:01.867,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.93,0.0,0.0,99.07
BP15PAA1,01/11/2016,12:00:00,14:00:00,*TOTALS*,24908,230,00:00:01.484,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.92,0.0,0.0,99.08
BP15PAA1,01/11/2016,14:00:00,16:00:00,*TOTALS*,27482,223,00:00:01.235,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.81,0.0,0.0,99.19
BP15PAA1,01/11/2016,16:00:00,18:00:00,*TOTALS*,27617,192,00:00:01.062,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.7,0.0,0.0,99.3
BP15PAA1,01/11/2016,18:00:00,20:00:00,*TOTALS*,18197,104,00:00:00.563,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.57,0.0,0.0,99.43
BP15PAA1,01/11/2016,20:00:00,22:00:00,*TOTALS*,15940,78,00:00:00.440,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.49,0.0,0.0,99.51
BP15PAA5,01/11/2016,06:00:00,08:00:00,*TOTALS*,2466,1,00:00:00.001,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.04,0.0,0.0,99.96
