Applid,Date,ResTime,ColTime,STGPROT,TRANISO,REENTPG,DSALIM,PeakDSA,EDSALIM,PeakEDSA,MEMLIMIT,CDSASize,UDSASize,SDSASize,RDSASize,ECDSASize,EUDSASize,ESDSASize,ERDSASize,ETDSASize,DSARatio%,EDSARatio%,CDSAHWM,UDSAHWM,SDSAHWM,RDSAHWM,DSASOSTms,DSASTGVIOLTms,ECDSAHWM,EUDSAHWM,ESDSAHWM,ERDSAHWM,ETDSAHWM,EDSASOSTms,EDSASTGVIOLTms,CDSAFragRatio%, UDSAFragRatio%, SDSAFragRatio%, RDSAFragRatio%, ECDSAFragRatio%, EUDSAFragRatio%, ESDSAFragRatio%, ERDSAFragRatio%, DSAHWMRatio%, EDSAHWMRatio%,GDSASOSTms, GDSASTGVIOLTms
AP16POA4,01/11/2016,06:00:00,08:00:00,ACTIVE,INACTIVE,PROTECT,6291456,1048576,694157312,301989888,NOLIMIT,262144,262144,262144,262144,206569472,12582912,25165824,56623104,1048576,16.67,43.50,221184,16384,4096,237568,0,0,165330944,6750208,24297472,56311808,0,0,0,1.00,1.00,1.00,0.67,0.38,0.35,0.90,0.26,7.62,36.40,0,0
AP16POA4,01/11/2016,08:00:00,10:00:00,ACTIVE,INACTIVE,PROTECT,6291456,1048576,694157312,301989888,NOLIMIT,262144,262144,262144,262144,206569472,12582912,25165824,56623104,1048576,16.67,43.50,229376,45056,4096,237568,0,0,165556224,9764864,24674304,56348672,0,0,0,1.00,1.00,1.00,0.67,0.38,0.35,0.82,0.16,8.20,36.93,0,0
AP16POA4,01/11/2016,10:00:00,12:00:00,ACTIVE,INACTIVE,PROTECT,6291456,1048576,694157312,303038464,NOLIMIT,262144,262144,262144,262144,206569472,12582912,25165824,57671680,1048576,16.67,43.66,229376,40960,4096,237568,0,0,165593088,9371648,24875008,56430592,0,0,0,1.00,1.00,1.00,0.67,0.38,0.35,0.69,0.81,8.14,36.92,0,0
AP16POA4,01/11/2016,12:00:00,14:00:00,ACTIVE,INACTIVE,PROTECT,6291456,1048576,694157312,304087040,NOLIMIT,262144,262144,262144,262144,206569472,12582912,26214400,57671680,1048576,16.67,43.81,229376,45056,4096,237568,0,0,165572608,9175040,25214976,56725504,0,0,0,1.00,1.00,1.00,0.67,0.38,0.35,0.91,0.75,8.20,36.98,0,0
AP16POA4,01/11/2016,14:00:00,16:00:00,ACTIVE,INACTIVE,PROTECT,6291456,1048576,694157312,304087040,NOLIMIT,262144,262144,262144,262144,206569472,12582912,26214400,57671680,1048576,16.67,43.81,237568,53248,4096,237568,0,0,182312960,10485760,25350144,56913920,0,0,0,1.00,1.00,1.00,0.67,0.38,0.35,0.90,0.69,8.46,39.63,0,0
AP16POA4,01/11/2016,16:00:00,18:00:00,ACTIVE,INACTIVE,PROTECT,6291456,1048576,694157312,304087040,NOLIMIT,262144,262144,262144,262144,206569472,12582912,26214400,57671680,1048576,16.67,43.81,229376,45056,4096,237568,0,0,165556224,10289152,25649152,57061376,0,0,0,1.00,1.00,1.00,0.67,0.38,0.35,0.84,0.66,8.20,37.25,0,0
AP16POA4,01/11/2016,18:00:00,20:00:00,ACTIVE,INACTIVE,PROTECT,6291456,1048576,694157312,304087040,NOLIMIT,262144,262144,262144,262144,206569472,12582912,26214400,57671680,1048576,16.67,43.81,229376,28672,4096,237568,0,0,165548032,9371648,25845760,57233408,0,0,0,1.00,1.00,1.00,0.67,0.38,0.35,0.76,0.53,7.94,37.17,0,0
AP16POA4,01/11/2016,20:00:00,22:00:00,ACTIVE,INACTIVE,PROTECT,6291456,1048576,694157312,304087040,NOLIMIT,262144,262144,262144,262144,206569472,12582912,26214400,57671680,1048576,16.67,43.81,229376,40960,4096,237568,0,0,165511168,7995392,25952256,57233408,0,0,0,1.00,1.00,1.00,0.67,0.38,0.35,0.72,0.53,8.14,36.98,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,559939584,NOLIMIT,524288,262144,262144,262144,310378496,144703488,1048576,102760448,1048576,25.00,48.55,245760,32768,12288,237568,0,0,244998144,23461888,651264,101232640,0,0,0,0.90,0.97,1.00,0.67,0.35,0.06,1.00,0.10,10.08,32.11,0,0
BP15PAAA,01/11/2016,08:00:00,10:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,564133888,NOLIMIT,524288,262144,262144,262144,310378496,144703488,1048576,106954752,1048576,25.00,48.91,266240,73728,12288,237568,0,0,255078400,65273856,655360,105566208,0,0,0,0.90,1.00,1.00,0.67,0.20,0.06,1.00,0.30,11.25,36.98,0,0
BP15PAAA,01/11/2016,10:00:00,12:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,568328192,NOLIMIT,524288,262144,262144,262144,310378496,144703488,1048576,111149056,1048576,25.00,49.27,258048,61440,12288,237568,0,0,245489664,55705600,655360,109756416,0,0,0,0.89,1.00,1.00,0.67,0.20,0.06,1.00,0.28,10.86,35.69,0,0
BP15PAAA,01/11/2016,12:00:00,14:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,570425344,NOLIMIT,524288,262144,262144,262144,310378496,144703488,1048576,113246208,1048576,25.00,49.45,262144,65536,12288,237568,0,0,245366784,47775744,655360,111747072,0,0,0,0.91,0.98,1.00,0.67,0.20,0.07,1.00,0.28,11.02,35.16,0,0
BP15PAAA,01/11/2016,14:00:00,16:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,572522496,NOLIMIT,524288,262144,262144,262144,310378496,144703488,1048576,115343360,1048576,25.00,49.64,258048,73728,12288,237568,0,0,245514240,53673984,655360,113733632,0,0,0,0.90,1.00,1.00,0.67,0.20,0.06,1.00,0.32,11.09,35.86,0,0
BP15PAAA,01/11/2016,16:00:00,18:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,574619648,NOLIMIT,524288,262144,262144,262144,310378496,144703488,1048576,117440512,1048576,25.00,49.82,270336,65536,12288,237568,0,0,254365696,58851328,655360,116158464,0,0,0,0.89,1.00,1.00,0.67,0.34,0.06,1.00,0.12,11.17,37.28,0,0
BP15PAAA,01/11/2016,18:00:00,20:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,575668224,NOLIMIT,524288,262144,262144,262144,310378496,144703488,1048576,118489088,1048576,25.00,49.91,282624,53248,12288,237568,0,0,246394880,43712512,655360,116649984,0,0,0,0.94,1.00,1.00,0.67,0.34,0.06,1.00,0.39,11.17,35.32,0,0
BP15PAAA,01/11/2016,20:00:00,22:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,575668224,NOLIMIT,524288,262144,262144,262144,310378496,144703488,1048576,118489088,1048576,25.00,49.91,266240,45056,12288,237568,0,0,264290304,57802752,655360,116649984,0,0,0,0.89,1.00,1.00,0.67,0.34,0.06,1.00,0.39,10.70,38.09,0,0
BP15PAAE,01/11/2016,06:00:00,08:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,538968064,NOLIMIT,262144,262144,262144,262144,309329920,125829120,1048576,101711872,1048576,20.00,46.73,241664,32768,8192,237568,0,0,244895744,20578304,651264,99450880,0,0,0,0.67,0.98,1.00,0.67,0.35,0.07,1.00,0.21,9.92,31.69,0,0
BP15PAAE,01/11/2016,08:00:00,10:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,543162368,NOLIMIT,262144,262144,262144,262144,309329920,125829120,1048576,105906176,1048576,20.00,47.09,245760,53248,8192,237568,0,0,254971904,55050240,655360,104722432,0,0,0,0.62,1.00,1.00,0.67,0.21,0.07,1.00,0.21,10.39,36.01,0,0
BP15PAAE,01/11/2016,10:00:00,12:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,547356672,NOLIMIT,262144,262144,262144,262144,309329920,125829120,1048576,110100480,1048576,20.00,47.45,237568,57344,8192,237568,0,0,245256192,47382528,655360,108904448,0,0,0,0.62,1.00,1.00,0.67,0.21,0.07,1.00,0.16,10.31,34.87,0,0
BP15PAAE,01/11/2016,12:00:00,14:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,549453824,NOLIMIT,262144,262144,262144,262144,309329920,125829120,1048576,112197632,1048576,20.00,47.64,233472,61440,8192,237568,0,0,245329920,45678592,655360,110252032,0,0,0,0.67,1.00,1.00,0.67,0.21,0.07,1.00,0.47,10.31,34.85,0,0
BP15PAAE,01/11/2016,14:00:00,16:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,550502400,NOLIMIT,262144,262144,262144,262144,309329920,125829120,1048576,113246208,1048576,20.00,47.73,241664,73728,8192,237568,0,0,245534720,64552960,655360,111648768,0,0,0,0.67,1.00,1.00,0.67,0.21,0.07,1.00,0.35,10.70,36.62,0,0
BP15PAAE,01/11/2016,16:00:00,18:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,552599552,NOLIMIT,262144,262144,262144,262144,309329920,125829120,1048576,115343360,1048576,20.00,47.91,245760,69632,8192,237568,0,0,254459904,58785792,655360,113451008,0,0,0,0.67,1.00,1.00,0.67,0.35,0.07,1.00,0.42,10.70,37.05,0,0
BP15PAAE,01/11/2016,18:00:00,20:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,552599552,NOLIMIT,262144,262144,262144,262144,309329920,125829120,1048576,115343360,1048576,20.00,47.91,237568,61440,8192,237568,0,0,246243328,52166656,655360,114016256,0,0,0,0.67,1.00,1.00,0.67,0.35,0.07,1.00,0.17,10.39,35.81,0,0
BP15PAAE,01/11/2016,20:00:00,22:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1048576,1153433600,552599552,NOLIMIT,262144,262144,262144,262144,309329920,125829120,1048576,115343360,1048576,20.00,47.91,241664,57344,8192,237568,0,0,264151040,52822016,655360,114081792,0,0,0,0.62,1.00,1.00,0.67,0.35,0.07,1.00,0.15,10.39,37.43,0,0
BP15PAA1,01/11/2016,06:00:00,08:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,542113792,NOLIMIT,524288,262144,262144,262144,308281344,126877696,1048576,104857600,1048576,25.00,47.00,278528,32768,12288,237568,0,0,244867072,21299200,651264,102752256,0,0,0,0.98,0.97,1.00,0.67,0.36,0.05,1.00,0.12,10.70,32.04,0,0
BP15PAA1,01/11/2016,08:00:00,10:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,546308096,NOLIMIT,524288,262144,262144,262144,308281344,126877696,1048576,109051904,1048576,25.00,47.36,290816,45056,12288,237568,0,0,254951424,38010880,655360,107544576,0,0,0,0.98,1.00,1.00,0.67,0.21,0.05,1.00,0.24,11.17,34.78,0,0
BP15PAA1,01/11/2016,10:00:00,12:00:00,ACTIVE,INACTIVE,PROTECT,5242880,1310720,1153433600,550502400,NOLIMIT,524288,262144,262144,262144,308281344,126877696,1048576,113246208,1048576,25.00,47.73,282624,61440,12288,237568,0,0,245673984,48431104,655360,111280128,0,0,0,0.98,1.00,1.00,0.67,0.21,0.05,1.00,0.49,11.33,35.20,0,0
