Applid,Date,ResTime,ColTime,DFHLOG,DASDOnly,AKPFREQ,AKPTaken,LGDFINT,WriteReq,ByteWritten,BufAppend,WaitFullBuf,PkForceWts,RetryError,ShuntWriteRequest
BP16PAAF,01/11/2016,12:00:00,14:00:00,CICS.BP16PAAF.DFHLOG,Yes,4000,38,5,53450,49315028,149125,0,2,0,0
BP16PAAF,01/11/2016,14:00:00,16:00:00,CICS.BP16PAAF.DFHLOG,Yes,4000,39,5,57776,53052681,159030,0,2,0,0
BP16PAAF,01/11/2016,16:00:00,18:00:00,CICS.BP16PAAF.DFHLOG,Yes,4000,36,5,52645,47197863,142063,0,2,0,0
BP16PAAF,01/11/2016,18:00:00,20:00:00,CICS.BP16PAAF.DFHLOG,Yes,4000,24,5,36421,31327605,98123,0,2,0,0
BP16PAAF,01/11/2016,20:00:00,22:00:00,CICS.BP16PAAF.DFHLOG,Yes,4000,21,5,29332,26261400,82075,0,1,0,0
BP16PAA2,01/11/2016,06:00:00,08:00:00,CICS.BP16PAA2.DFHLOG,Yes,4000,3,5,4371,3537994,10985,0,1,0,0
BP16PAA2,01/11/2016,08:00:00,10:00:00,CICS.BP16PAA2.DFHLOG,Yes,4000,24,5,36873,31969530,97087,0,2,0,0
BP16PAA2,01/11/2016,10:00:00,12:00:00,CICS.BP16PAA2.DFHLOG,Yes,4000,43,5,62592,56537506,171998,0,1,0,0
BP16PAA2,01/11/2016,12:00:00,14:00:00,CICS.BP16PAA2.DFHLOG,Yes,4000,37,5,52966,48892476,148387,0,1,0,0
BP16PAA2,01/11/2016,14:00:00,16:00:00,CICS.BP16PAA2.DFHLOG,Yes,4000,39,5,57467,52271569,157551,0,2,0,0
BP16PAA2,01/11/2016,16:00:00,18:00:00,CICS.BP16PAA2.DFHLOG,Yes,4000,36,5,53125,47904626,144028,0,2,0,0
BP16PAA2,01/11/2016,18:00:00,20:00:00,CICS.BP16PAA2.DFHLOG,Yes,4000,24,5,35960,31057376,97118,0,1,0,0
BP16PAA2,01/11/2016,20:00:00,22:00:00,CICS.BP16PAA2.DFHLOG,Yes,4000,20,5,28132,25621490,79266,0,1,0,0
BP16PAA6,01/11/2016,06:00:00,08:00:00,CICS.BP16PAA6.DFHLOG,Yes,4000,2,5,4289,3518143,10848,0,1,0,0
BP16PAA6,01/11/2016,08:00:00,10:00:00,CICS.BP16PAA6.DFHLOG,Yes,4000,24,5,36533,31532800,95522,0,1,0,0
BP16PAA6,01/11/2016,10:00:00,12:00:00,CICS.BP16PAA6.DFHLOG,Yes,4000,42,5,61002,56001340,168538,0,2,0,0
BP16PAA6,01/11/2016,12:00:00,14:00:00,CICS.BP16PAA6.DFHLOG,Yes,4000,38,5,53550,49750582,149591,0,2,0,0
BP16PAA6,01/11/2016,14:00:00,16:00:00,CICS.BP16PAA6.DFHLOG,Yes,4000,39,5,57330,52367994,157717,0,1,0,0
BP16PAA6,01/11/2016,16:00:00,18:00:00,CICS.BP16PAA6.DFHLOG,Yes,4000,35,5,52526,47194218,141883,0,2,0,0
BP16PAA6,01/11/2016,18:00:00,20:00:00,CICS.BP16PAA6.DFHLOG,Yes,4000,25,5,36315,31248171,97460,0,2,0,0
BP16PAA6,01/11/2016,20:00:00,22:00:00,CICS.BP16PAA6.DFHLOG,Yes,4000,19,5,28179,25258982,78517,0,1,0,0
BP17PAAC,01/11/2016,06:00:00,08:00:00,CICS.BP17PAAC.DFHLOG,Yes,4000,2,5,4100,3368148,10416,0,1,0,0
BP17PAAC,01/11/2016,08:00:00,10:00:00,CICS.BP17PAAC.DFHLOG,Yes,4000,24,5,36030,30947765,94438,0,2,0,0
BP17PAAC,01/11/2016,10:00:00,12:00:00,CICS.BP17PAAC.DFHLOG,Yes,4000,43,5,62625,57140888,172513,0,2,0,0
BP17PAAC,01/11/2016,12:00:00,14:00:00,CICS.BP17PAAC.DFHLOG,Yes,4000,38,5,54041,50277164,151176,0,1,0,0
BP17PAAC,01/11/2016,14:00:00,16:00:00,CICS.BP17PAAC.DFHLOG,Yes,4000,39,5,58011,52926957,158699,0,2,0,0
BP17PAAC,01/11/2016,16:00:00,18:00:00,CICS.BP17PAAC.DFHLOG,Yes,4000,35,5,52126,46281197,140365,0,1,0,0
BP17PAAC,01/11/2016,18:00:00,20:00:00,CICS.BP17PAAC.DFHLOG,Yes,4000,25,5,36233,31205642,97485,0,2,0,0
