Applid,Date,ResTime,ColTime,TClassName,Trandfs,NaxAct,PrgThrs,Attaches,AcptImm,PrgImm,Queued,PrgQd,QuedTime,PckAct,PckQued,MaxActTimes,PrgThrsTimes
AP16POA4,01/11/2016,20:00:00,22:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA4,01/11/2016,20:00:00,22:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,20:00:00,22:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,20:00:00,22:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,20:00:00,22:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,20:00:00,22:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBATM,2175,30,21,860,860,0,0,0,00:00:00,2,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBCHHI,15225,70,26,239,239,0,0,0,00:00:00,2,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBCHLI,10875,30,31,244,244,0,0,0,00:00:00,1,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBCHLM,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBEIB,2175,30,21,1083,1083,0,0,0,00:00:00,2,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBIBS,2175,30,21,2132,2132,0,0,0,00:00:00,3,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBIPB,2175,30,21,241,241,0,0,0,00:00:00,1,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBMID,2175,30,21,255,255,0,0,0,00:00:00,1,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBM1A,20,20,11,704,704,0,0,0,00:00:00,2,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBOTH,2177,30,11,264,264,0,0,0,00:00:00,2,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBPOS,2175,30,21,57,57,0,0,0,00:00:00,1,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBSCTR,1,50,21,788,788,0,0,0,00:00:00,3,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBSMSA,1,1,1,120,120,0,0,0,00:00:00,1,0,120,1
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBSMSR,2,10,6,0,0,0,0,0,00:00:00,0,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBTRM,2175,30,21,228,228,0,0,0,00:00:00,1,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,TCBTRNLM,0,1,1,0,0,0,0,0,00:00:00,0,0,0,1
BP15PAAA,01/11/2016,06:00:00,08:00:00,*TOTALS*,43529,-1,-1,7215,7215,0,0,0,00:00:00,-1,-1,120,3
BP15PAAA,01/11/2016,08:00:00,10:00:00,TCBATM,2175,30,21,4572,4572,0,0,0,00:00:00,3,0,0,0
