Applid,Date,ResTime,ColTime,TotTran,MXT,MXTTimeRch,PkQued,PkActv,TotlActUsr,TotlDly,MXTRatio%
BP17PAAC,01/11/2016,18:00:00,20:00:00,120227,100,0,0,19,120024,0,19.00
BP17PAAC,01/11/2016,20:00:00,22:00:00,94907,100,0,0,16,94747,0,16.00
BP17PAAG,01/11/2016,06:00:00,08:00:00,14311,100,0,0,12,14286,0,12.00
BP17PAAG,01/11/2016,08:00:00,10:00:00,136208,100,0,0,17,136011,0,17.00
BP17PAAG,01/11/2016,10:00:00,12:00:00,229623,100,0,0,19,229298,0,19.00
BP17PAAG,01/11/2016,12:00:00,14:00:00,181937,100,0,0,17,181668,0,17.00
BP17PAAG,01/11/2016,14:00:00,16:00:00,220553,100,0,0,19,220252,0,19.00
BP17PAAG,01/11/2016,16:00:00,18:00:00,198792,100,0,0,18,198487,0,18.00
BP17PAAG,01/11/2016,18:00:00,20:00:00,122034,100,0,0,16,121830,0,16.00
BP17PAAG,01/11/2016,20:00:00,22:00:00,94662,100,0,0,16,94530,0,16.00
BP17PAA3,01/11/2016,06:00:00,08:00:00,14000,100,0,0,13,13980,0,13.00
BP17PAA3,01/11/2016,08:00:00,10:00:00,136399,100,0,0,16,136183,0,16.00
BP17PAA3,01/11/2016,10:00:00,12:00:00,229844,100,0,0,20,229471,0,20.00
BP17PAA3,01/11/2016,12:00:00,14:00:00,180600,100,0,0,17,180335,0,17.00
BP17PAA3,01/11/2016,14:00:00,16:00:00,220650,100,0,0,21,220308,0,21.00
BP17PAA3,01/11/2016,16:00:00,18:00:00,197857,100,0,0,17,197570,0,17.00
BP17PAA3,01/11/2016,18:00:00,20:00:00,120903,100,0,0,16,120717,0,16.00
BP17PAA3,01/11/2016,20:00:00,22:00:00,94345,100,0,0,17,94208,0,17.00
BP17PAA7,01/11/2016,06:00:00,08:00:00,13691,100,0,0,13,13658,0,13.00
BP17PAA7,01/11/2016,08:00:00,10:00:00,137003,100,0,0,16,136767,0,16.00
BP17PAA7,01/11/2016,10:00:00,12:00:00,230358,100,0,0,21,230025,0,21.00
BP17PAA7,01/11/2016,12:00:00,14:00:00,181351,100,0,0,23,181069,0,23.00
BP17PAA7,01/11/2016,14:00:00,16:00:00,219792,100,0,0,21,219481,0,21.00
BP17PAA7,01/11/2016,16:00:00,18:00:00,197617,100,0,0,18,197330,0,18.00
BP17PAA7,01/11/2016,18:00:00,20:00:00,121033,100,0,0,16,120860,0,16.00
BP17PAA7,01/11/2016,20:00:00,22:00:00,94306,100,0,0,16,94152,0,16.00
BP18PAAD,01/11/2016,06:00:00,08:00:00,14193,100,0,0,13,14178,0,13.00
BP18PAAD,01/11/2016,08:00:00,10:00:00,136845,100,0,0,18,136646,0,18.00
BP18PAAD,01/11/2016,10:00:00,12:00:00,229662,100,0,0,21,229300,0,21.00
BP18PAAD,01/11/2016,12:00:00,14:00:00,182051,100,0,0,18,181798,0,18.00
BP18PAAD,01/11/2016,14:00:00,16:00:00,220054,100,0,0,18,219719,0,18.00
BP18PAAD,01/11/2016,16:00:00,18:00:00,198343,100,0,0,20,198040,0,20.00
BP18PAAD,01/11/2016,18:00:00,20:00:00,121530,100,0,0,16,121338,0,16.00
BP18PAAD,01/11/2016,20:00:00,22:00:00,94265,100,0,0,16,94119,0,16.00
BP18PAAH,01/11/2016,06:00:00,08:00:00,13750,100,0,0,12,13721,0,12.00
BP18PAAH,01/11/2016,08:00:00,10:00:00,136844,100,0,0,17,136640,0,17.00
BP18PAAH,01/11/2016,10:00:00,12:00:00,230452,100,0,0,19,230125,0,19.00
BP18PAAH,01/11/2016,12:00:00,14:00:00,181142,100,0,0,21,180859,0,21.00
BP18PAAH,01/11/2016,14:00:00,16:00:00,221996,100,0,0,19,221657,0,19.00
BP18PAAH,01/11/2016,16:00:00,18:00:00,197205,100,0,0,17,196909,0,17.00
BP18PAAH,01/11/2016,18:00:00,20:00:00,120612,100,0,0,16,120414,0,16.00
BP18PAAH,01/11/2016,20:00:00,22:00:00,94140,100,0,0,17,93993,0,17.00
BP18PAA4,01/11/2016,06:00:00,08:00:00,13953,100,0,0,13,13940,0,13.00
BP18PAA4,01/11/2016,08:00:00,10:00:00,136646,100,0,0,17,136438,0,17.00
BP18PAA4,01/11/2016,10:00:00,12:00:00,229709,100,0,0,19,229363,0,19.00
BP18PAA4,01/11/2016,12:00:00,14:00:00,180516,100,0,0,22,180259,0,22.00
BP18PAA4,01/11/2016,14:00:00,16:00:00,219802,100,0,0,18,219482,0,18.00
BP18PAA4,01/11/2016,16:00:00,18:00:00,198449,100,0,0,25,198164,0,25.00
BP18PAA4,01/11/2016,18:00:00,20:00:00,120685,100,0,0,20,120484,0,20.00
BP18PAA4,01/11/2016,20:00:00,22:00:00,94844,100,0,0,16,94701,0,16.00
BP18PAA8,01/11/2016,06:00:00,08:00:00,13700,100,0,0,13,13684,0,13.00
BP18PAA8,01/11/2016,08:00:00,10:00:00,136467,100,0,0,19,136285,0,19.00
BP18PAA8,01/11/2016,10:00:00,12:00:00,229652,100,0,0,22,229311,0,22.00
BP18PAA8,01/11/2016,12:00:00,14:00:00,180804,100,0,0,21,180562,0,21.00
BP18PAA8,01/11/2016,14:00:00,16:00:00,220362,100,0,0,19,220039,0,19.00
BP18PAA8,01/11/2016,16:00:00,18:00:00,197943,100,0,0,17,197640,0,17.00
BP18PAA8,01/11/2016,18:00:00,20:00:00,121028,100,0,0,15,120852,0,15.00
BP18PAA8,01/11/2016,20:00:00,22:00:00,94935,100,0,0,15,94789,0,15.00
